Service Name,Description,Type,Depends on,Used by,Status,Decommission Date,Owner,Go Live Date,Business Risk,Product Theme,Last Update
QuantumSync,Event bus per sincronizzazione near‑real‑time tra domini,Platform,"CoreStream
DataHub",ShieldForce,,,Cameron Shade,,,Gaming,2025-10-15
CyberEngine,Motore regole per valutazioni rischio in tempo reale,Microservice,"LogicLab
QuantumCore",CareOps,,,Cameron Shade,,,Gaming,
CoreForge,Toolkit build e deploy per microservizi,Platform,CoreStream,DevStream,,,Cameron Shade,,,Gaming,
AlphaLayer,Layer API pubblico per partner esterni,API Gateway,"QuantumSync
StreamNet",Partner Portal,,,Rowan Wolfe,,,Data Entry Tools,
StreamNode,Ingestione streaming ad alta velocità,Data Pipeline,"DataPulse
StreamCore",InsightGrid,,,Rowan Wolfe,,,Data Science,
StreamOps,Console operativa per flussi streaming,UI App,"StreamNode
VisionLab",NOC,,,Logan Ray,,,Back End,
QuantumCore,Servizio identità e token per workload interni,Service,"CoreForge
CoreSync",EdgeOps,,,Logan Ray,,,Back End,
NovaNode,Registro dispositivi edge e provisioning,Service,"EdgeGrid
QuantumCore",EdgeTrack,,,Logan Ray,,,Back End,
NovaLab,Sandbox dati per prototipazione,Platform,"DataHub
DataLab",Data Science Guild,Active,,Rowan Wolfe,2024-05-07,Low,Data Science,
QuantumNet,Routing interno per servizi east‑west,Service,CoreStream,InfraGuard,,,Logan Ray,,,Back End,
ZenithOps,Orchestratore runbook e change automation,Platform,"CoreForge
LogicHub",AgileWorks,,,Logan Ray,,,Back End,
LogicLab,Laboratorio regole/feature flag centralizzate,Service,CoreSync,VisionWare,,,Logan Ray,,,Back End,
VisionForge,Servizio generazione report e dashboard,Service,"DataHub
VisionGrid",StatSphere,,,Logan Ray,,,Back End,
VisionLab,Motore analytics self‑service,Platform,"DataLab
VisionForge",PatternFlow,,,Logan Ray,,,Back End,
DataLab,Workspace dati governato,Platform,DataHub,AI Nexus,,,Logan Ray,,,Back End,
DataStream,Trasporto batch‑to‑lake affidabile,Data Pipeline,CoreStream,DataDock,,,Logan Ray,,,Back End,
GammaLink,Connettori SaaS verso CRM/ERPs,Service,"Integration
QuantumSync",SupportSync,,,Logan Ray,,,Back End,
LogicEngine,Motore decisionale per promozioni,Microservice,"LogicLab
DataLab",AssistEdge,,,Kai Wolfe,,,Integration,
MatrixNet,Registry schemi e contratti dati,Service,"CoreSync
DataHub",All teams,Active,,Riley Flame,2023-01-05,Low,Infra Pillars,
GammaHub,Hub eventi business,Platform,"QuantumSync
StreamNode",New Initiatives,,,Kai Wolfe,,,Integration,
BetaPulse,Telemetria UX e performance client,Service,VisionLab,VisionWare,,,Kai Wolfe,,,Integration,
MatrixLayer,Strato mapping logico per dati condivisi,Service,"MatrixNet
DataStream",InsightGrid,,,Kai Wolfe,,,Integration,
MatrixEngine,Calcolo KPI finanziari,Microservice,"DataLab
LogicEngine",ResolveHub,,,Kai Wolfe,,,Integration,
ZenithCore,IdP esterno OIDC per clienti,Service,"AlphaLayer
QuantumCore",Customer Portal,Active,,Riley Flame,2024-05-20,High,Customer Facing Foundations,
CyberFlow,Pipeline antifrode transazionale,Data Pipeline,"StreamNode
LogicEngine",Payment UI,,,Kai Wolfe,,,Integration,
AlphaEngine,Calcolo raccomandazioni catalogo,Microservice,"DataLab
VisionLab",InsightGrid,Active,,Zion Blaze,2023-10-02,Medium,Selling Opportunities,
QuantumGrid,Storage key‑value bassa latenza,Platform,CoreStream,DevStream,,,Riley Flame,,,Customer Facing Foundations,
SpherePulse,Monitor sintetico journey utente,Service,"VisionLab
BetaPulse",SupportSync,,,Riley Flame,,,Customer Facing Foundations,
OmegaLink,Gateway integrazione partner B2B,API Gateway,"AlphaLayer
Integration",Partners,Active,,Kai Wolfe,2024-03-18,Medium,Integration,
CloudZone,Distribuzione feature su mobile,Service,"ZenithOps
LogicLab",Mobile Apps,Active,,Blake Fox,2023-11-06,Medium,New Markets,
BetaSync,Sync preferenze utente cross‑device,Service,"CoreSync
QuantumSync",Mobile Apps,,,Riley Flame,,,Customer Facing Foundations,
AlphaLink,Short‑link e campaign tracking,Service,"CoreStream
VisionLab",FutureStack,,,Riley Flame,,,Customer Facing Foundations,
EdgeTrack,Telemetry edge device health,Service,"NovaNode
EdgeGrid",EdgeOps,Active,,Kai Wolfe,2024-07-22,Medium,Subscription Model Domain,
LogicSync,Synchronizer regole multi‑region,Service,"LogicLab
QuantumNet",All services,Active,,Riley Flame,2023-08-30,Low,Infra Pillars,
