Key,IssueType,RequestType,Created,Summary,AffectedServices,Status,Priority,JiraUrl
DSM-1042,[System] Incident,Platform production incident,2026-08-14,CoreStream event bus experiencing elevated message drop rate — producers backpressuring,CoreStream,In Progress,P1/Blocker,https://example.atlassian.net/browse/DSM-1042
DSM-1071,[System] Incident,Payment system incident,2026-08-20,FusionPoint payment orchestration timeout spike — 15% of transactions failing at PSP routing,FusionPoint,Investigating,P2/Critical,https://example.atlassian.net/browse/DSM-1071
DSM-1078,[System] Incident,Data platform incident,2026-08-22,DataHub query engine degraded — interactive queries timing out for large datasets,DataHub,In Progress,P2/Critical,https://example.atlassian.net/browse/DSM-1078
DSM-1083,[System] Incident,Identity service incident,2026-08-25,QuantumCore token issuance elevated error rate (2.3%) — downstream services seeing auth failures,"QuantumCore||AlphaLayer",Acknowledged,P3/Major,https://example.atlassian.net/browse/DSM-1083
DSM-1089,[System] Incident,Anti-fraud pipeline incident,2026-08-26,GammaFlow scoring pipeline latency above SLA — p99 at 4.2s vs 800ms threshold,GammaFlow,In Progress,P3/Major,https://example.atlassian.net/browse/DSM-1089
DSM-1093,[System] Incident,Streaming incident,2026-08-27,StreamNode ingestion lag — consumer group lag growing on high-volume topics,StreamNode,Investigating,P3/Major,https://example.atlassian.net/browse/DSM-1093
DSM-1101,[System] Incident,Feature flags incident,2026-08-29,LogicLab flag sync intermittent failures — stale flag values cached beyond TTL,LogicLab,Open,P4/Minor,https://example.atlassian.net/browse/DSM-1101
DSM-1104,[System] Incident,API gateway incident,2026-08-30,AlphaLayer returning 502 on /v2/catalog endpoint — intermittent under high load,AlphaLayer,Open,P4/Minor,https://example.atlassian.net/browse/DSM-1104
DSM-1109,[System] Incident,Streaming incident,2026-09-01,CyberFlow anti-fraud event stream falling behind — checkpoint lag on fraud detection topic,CyberFlow,Investigating,P3/Major,https://example.atlassian.net/browse/DSM-1109
DSM-1112,[System] Incident,Identity service incident,2026-09-01,ZenithCore OIDC token verification slow — p95 latency 1.8s affecting customer login flow,ZenithCore,In Progress,P2/Critical,https://example.atlassian.net/browse/DSM-1112
DSM-0987,[System] Service Request,Generic Service Request,2026-08-10,ZenithOps runbook update for blue-green deployment pattern — add rollback step for stateful services,ZenithOps,In Progress,P3/Major,https://example.atlassian.net/browse/DSM-0987
DSM-0991,[System] Service Request,Generic Service Request,2026-08-12,AlphaLayer new OAuth scope registration for mobile partner integration,AlphaLayer,Pending,P3/Major,https://example.atlassian.net/browse/DSM-0991
DSM-0998,[System] Service Request,Generic Service Request,2026-08-15,MatrixNet schema contract registration for new orders-v3 event spec,MatrixNet,In Progress,P3/Major,https://example.atlassian.net/browse/DSM-0998
DSM-1005,[System] Service Request,Generic Service Request,2026-08-18,QuantumCore service account rotation — quarterly secrets cycle for internal workloads,QuantumCore,Pending,P4/Minor,https://example.atlassian.net/browse/DSM-1005
DSM-1011,[System] Service Request,Generic Service Request,2026-08-19,FusionPoint PSP routing configuration update — add new acquirer endpoint for APAC region,FusionPoint,In Progress,P4/Minor,https://example.atlassian.net/browse/DSM-1011
DSM-1018,[System] Service Request,Generic Service Request,2026-08-21,LogicLab new feature flag provisioning — gradual rollout config for checkout redesign,LogicLab,Pending,P4/Minor,https://example.atlassian.net/browse/DSM-1018
DSM-1024,[System] Service Request,Generic Service Request,2026-08-22,CoreSync secrets rotation — TLS certificates renewal for east-west service mesh,"CoreSync||QuantumNet",In Progress,P4/Minor,https://example.atlassian.net/browse/DSM-1024
DSM-1031,[System] Service Request,Generic Service Request,2026-08-24,CyberEngine risk scoring rule update — add new velocity check for high-value transactions,CyberEngine,Pending,P4/Minor,https://example.atlassian.net/browse/DSM-1031
DSM-1037,[System] Service Request,Generic Service Request,2026-08-27,VisionForge new dashboard access provisioning — grant read-only permission for BI team,VisionForge,Open,P4/Minor,https://example.atlassian.net/browse/DSM-1037
DSM-1046,[System] Service Request,Generic Service Request,2026-08-28,NovaNode device onboarding batch — register 40 new edge devices for the EMEA warehouse rollout,NovaNode,In Progress,P4/Minor,https://example.atlassian.net/browse/DSM-1046
DSM-1055,[System] Service Request,Generic Service Request,2026-08-29,DataHub storage tier migration — move cold partitions to archival layer,DataHub,Pending,P3/Major,https://example.atlassian.net/browse/DSM-1055
DSM-1062,[System] Service Request,Generic Service Request,2026-08-31,StreamNode topic ACL update — grant consumer group access to new analytics pipeline,StreamNode,Open,P4/Minor,https://example.atlassian.net/browse/DSM-1062
