Service Name,Description,Type,Depends on,Used by,Status,Decommission Date,Owner,Go Live Date,Business Risk,Updated,Theme,Stream,Responsible Teams
QuantumSync,Near-real-time event bus for cross-domain synchronization,Platform,"CoreStream
DataHub",ShieldForce,Active,,Cameron Shade,,,2025-10-15,Gaming,Expansion Themes,InsightGrid
CyberEngine,Rules engine for real-time risk scoring,Microservice,"LogicLab
QuantumCore",CareOps,Active,,Cameron Shade,,,,Gaming,Expansion Themes,InsightGrid
CoreForge,Build and deploy toolkit for microservices,Platform,CoreStream,DevStream,Active,,Cameron Shade,,,,Gaming,Expansion Themes,InsightGrid
AlphaLayer,Public API layer for external partners,API Gateway,"QuantumSync
StreamNet",Partner Portal,Active,,Elliot Hunter,,,,Data Entry Tools,RocketScience Themes,CloudAxis
StreamNode,High-throughput stream ingestion service,Data Pipeline,"DataPulse
StreamCore",InsightGrid,Active,,Elliot West,,,,Data Science,New Initiatives,ImpactStream
StreamOps,Operational console for streaming pipelines,UI App,"StreamNode
VisionLab",NOC,Active,,Kai Fox,,,,Back End,Expansion Themes,DevStream
QuantumCore,Identity and token service for internal workloads,Service,"CoreForge
CoreSync",EdgeOps,Active,,Winter Brooks,,,,Back End,Expansion Themes,DevStream
NovaNode,Edge device registry and provisioning,Service,"EdgeGrid
QuantumCore",EdgeTrack,Active,,Phoenix Moon,,,,Back End,Expansion Themes,DevStream
NovaLab,Data sandbox for rapid prototyping,Platform,"DataHub
DataLab",Data Science Guild,Active,,Elliot West,2024-05-07,Low,,Data Science,New Initiatives,ImpactStream
QuantumNet,Internal routing for east-west service communication,Service,CoreStream,InfraGuard,Active,,Cameron Blaze,,,,Back End,Expansion Themes,DevStream
ZenithOps,Runbook orchestrator and change automation platform,Platform,"CoreForge
LogicHub",AgileWorks,Active,,Kai Fox,,,,Back End,Expansion Themes,DevStream
LogicLab,Centralized rules and feature flags lab,Service,CoreSync,VisionWare,Active,,Winter Brooks,,,,Back End,Expansion Themes,DevStream
VisionForge,Report and dashboard generation service,Service,"DataHub
VisionGrid",StatSphere,Active,,Phoenix Moon,,,,Back End,Expansion Themes,DevStream
VisionLab,Self-service analytics engine,Platform,"DataLab
VisionForge",PatternFlow,Active,,Cameron Blaze,,,,Back End,Expansion Themes,DevStream
DataLab,Governed data workspace,Platform,DataHub,AI Nexus,Active,,Kai Fox,,,,Back End,Expansion Themes,DevStream
DataStream,Reliable batch-to-data-lake transport,Data Pipeline,CoreStream,DataDock,Active,,Winter Brooks,,,,Back End,Expansion Themes,DevStream
GammaLink,SaaS connectors for CRM and ERP systems,Service,QuantumSync,SupportSync,Active,,Phoenix Moon,,,,Back End,Expansion Themes,DevStream
LogicEngine,Decision engine for promotional rules,Microservice,"LogicLab
DataLab",AssistEdge,Active,,Kai Wolfe,,,,Integration,Expansion Themes,AI Nexus
MatrixNet,Registry schemi e contratti dati,Service,"CoreSync
DataHub",All teams,Active,,Riley Flame,2023-01-05,Low,,Infra Pillars,New Initiatives,EdgeOps
GammaHub,Business event hub,Platform,"QuantumSync
StreamNode",New Initiatives,Active,,Kai Wolfe,,,,Integration,Expansion Themes,AI Nexus
BetaPulse,UX and client-side performance telemetry,Service,VisionLab,VisionWare,Active,,Kai Wolfe,,,,Integration,Expansion Themes,AI Nexus
MatrixLayer,Logical mapping layer for shared data contracts,Service,"MatrixNet
DataStream",InsightGrid,Active,,Kai Wolfe,,,,Integration,Expansion Themes,AI Nexus
MatrixEngine,Financial KPI calculation service,Microservice,"DataLab
LogicEngine",ResolveHub,Active,,Kai Wolfe,,,,Integration,Expansion Themes,AI Nexus
ZenithCore,External OIDC identity provider for customers,Service,"AlphaLayer
QuantumCore",Customer Portal,Active,,Riley Flame,2024-05-20,High,,Customer Facing Foundations,New Initiatives,TrustLayer
CyberFlow,Transactional anti-fraud detection pipeline,Data Pipeline,"StreamNode
LogicEngine",Payment UI,Active,,Kai Wolfe,,,,Integration,Expansion Themes,AI Nexus
AlphaEngine,Catalog recommendation scoring engine,Microservice,"DataLab
VisionLab",InsightGrid,Active,,Zion Blaze,2023-10-02,Medium,,Selling Opportunities,RocketScience Themes,InfraGuard
QuantumGrid,Low-latency key-value store,Platform,CoreStream,DevStream,Active,,Riley Flame,,,,Customer Facing Foundations,New Initiatives,TrustLayer
SpherePulse,Synthetic user-journey monitor,Service,"VisionLab
BetaPulse",SupportSync,Active,,Riley Flame,,,,Customer Facing Foundations,New Initiatives,TrustLayer
OmegaLink,Gateway integrazione partner B2B,API Gateway,AlphaLayer,Partners,Active,,Kai Wolfe,2024-03-18,Medium,,Integration,Expansion Themes,AI Nexus
CloudZone,Feature distribution for mobile applications,Service,"ZenithOps
LogicLab",Mobile Apps,Active,,Blake Fox,2023-11-06,Medium,,New Markets,RocketScience Themes,SupportSync
BetaSync,Cross-device user preference sync,Service,"CoreSync
QuantumSync",Mobile Apps,Active,,Riley Flame,,,,Customer Facing Foundations,New Initiatives,TrustLayer
AlphaLink,Short-link generation and campaign tracking,Service,"CoreStream
VisionLab",FutureStack,Active,,Riley Flame,,,,Customer Facing Foundations,New Initiatives,TrustLayer
EdgeTrack,Telemetry edge device health,Service,"NovaNode
EdgeGrid",EdgeOps,Active,,Kai Wolfe,2024-07-22,Medium,,Subscription Model Domain,Expansion Themes,QueryQuest
LogicSync,Multi-region rules synchronizer service,Service,"LogicLab
QuantumNet",All services,Active,,Riley Flame,2023-08-30,Low,,Infra Pillars,New Initiatives,TechFrontier
