Service Name,Description,Type,Depends on,Used by,Status,Decommission Date,APM,Go Live Date,Business Risk,Product Theme,Owner
AuthenticationService1,AuthenticationService1 description,Type1,ShippingService23,"NotificationService88
PaymentGateway63
RecommendationEngine7",Decommissioned,2020-05-12,https://apm.AuthenticationService1.com,2020-12-24,Medium,Tema UX,Luca Rossi
ShippingService2,ShippingService2 description,Type1,,"UserProfileService25
LoggingService22
MonitoringService76
RecommendationEngine36",Decommissioned,2020-10-12,https://apm.ShippingService2.com,2023-06-11,Medium,Tema Backend,Maria Neri
DatabaseService3,DatabaseService3 description,Type1,"OrderProcessingService16
MonitoringService14
CacheService76","CustomerSupportService51
CacheService48
CacheService62",Active,,https://apm.DatabaseService3.com,2017-03-11,Low,Tema Frontend,Marco Gialli
InventoryManagementService4,InventoryManagementService4 description,Type1,"CacheService16
CacheService64
UserProfileService47
CacheService75","RecommendationEngine93
AnalyticsService17
ShippingService99
InventoryManagementService25
ShippingService35",Active,,https://apm.InventoryManagementService4.com,2021-12-20,Medium,Tema Mobile,Sara Blu
RecommendationEngine5,RecommendationEngine5 description,Type3,"OrderProcessingService53
RecommendationEngine41
NotificationService52",,Active,,https://apm.RecommendationEngine5.com,2013-08-05,Low,Tema API,Gianni Viola
ShippingService6,ShippingService6 description,Type2,"ShippingService98
ShippingService26",PaymentGateway72,Decommissioned,2021-09-15,https://apm.ShippingService6.com,2012-04-01,Medium,Tema Data,Laura Marrone
LoggingService7,LoggingService7 description,Type3,,"AuthenticationService92
LoggingService82
SearchService48
LoggingService100
ShippingService49",Active,,https://apm.LoggingService7.com,2016-11-10,Low,Tema Sicurezza,Andrea Viola
RecommendationEngine8,RecommendationEngine8 description,Type1,,"CacheService16
PaymentGateway46
NotificationService60
RecommendationEngine85
AnalyticsService85",Active,,https://apm.RecommendationEngine8.com,2012-02-20,High,Tema DevOps,Elisa Rosa
InventoryManagementService9,InventoryManagementService9 description,Type1,CustomerSupportService51,PaymentGateway29,Active,,https://apm.InventoryManagementService9.com,2011-07-09,Medium,Tema UX,Davide Verde
CustomerSupportService10,CustomerSupportService10 description,Type3,AnalyticsService33,,Decommissioned,2023-08-08,https://apm.CustomerSupportService10.com,2019-01-09,High,Tema Backend,Martina Arancio
DatabaseService11,DatabaseService11 description,Type1,"PaymentGateway18
DatabaseService93
RecommendationEngine39
UserProfileService28","OrderProcessingService19
InventoryManagementService76",Active,,https://apm.DatabaseService11.com,2022-04-15,High,Tema Frontend,Stefano Nero
InventoryManagementService12,InventoryManagementService12 description,Type3,"AnalyticsService62
CustomerSupportService71
OrderProcessingService45
OrderProcessingService82
ShippingService59",PaymentGateway78,Active,,https://apm.InventoryManagementService12.com,2011-12-02,High,Tema Mobile,Chiara Giallo
AnalyticsService13,AnalyticsService13 description,Type3,"CacheService69
MonitoringService8
SearchService43
LoggingService21","ShippingService6
AnalyticsService48
SearchService64",Decommissioned,2022-11-27,https://apm.AnalyticsService13.com,2018-11-14,Medium,Tema API,Fabio Marrone
